condition,prompt,gold,prediction,correct,fluency,error_type,f1
L1,,,,1,,,1.0
L1,,,,1,,,1.0
L1,,,,1,,,1.0
L1,,,,1,,,1.0
L1,,,,1,,,1.0
L1,,,,1,,,1.0
L1,,,,1,,,1.0
L1,,,,1,,,1.0
L1,,,,1,,,1.0
L1,,,,1,,,1.0
L1,,,,1,,,1.0
L1,,,,1,,,1.0
L1,,,,1,,,1.0
L1,,,,1,,,1.0
L1,,,,1,,,1.0
L1,,,,1,,,1.0
L1,,,,1,,,1.0
L1,,,,1,,,1.0
L1,,,,1,,,1.0
L1,,,,1,,,1.0
L1,,,,1,,,1.0
L2,,,,1,,,1.0
L2,,,,1,,,1.0
L2,,,,1,,,1.0
L2,,,,1,,,1.0
L2,,,,1,,,1.0
L2,,,,1,,,1.0
L2,,,,1,,,1.0
L2,,,,1,,,1.0
L2,,,,1,,,1.0
L2,,,,1,,,1.0
L2,,,,1,,,1.0
L2,,,,1,,,1.0
L2,,,,1,,,1.0
L2,,,,1,,,1.0
L2,,,,1,,,1.0
L2,,,,1,,,1.0
L2,,,,1,,,1.0
L2,,,,1,,,1.0
L2,,,,1,,,1.0
L2,,,,1,,,1.0
L2,,,,1,,,1.0
L3,,,,1,,,1.0
L3,,,,1,,,1.0
L3,,,,1,,,1.0
L3,,,,1,,,1.0
L3,,,,1,,,1.0
L3,,,,1,,,1.0
L3,,,,1,,,1.0
L3,,,,1,,,1.0
L3,,,,1,,,1.0
L3,,,,1,,,1.0
L3,,,,1,,,1.0
L3,,,,1,,,1.0
L3,,,,1,,,1.0
L3,,,,1,,,1.0
L3,,,,1,,,1.0
L3,,,,1,,,1.0
L3,,,,1,,,1.0
L3,,,,1,,,1.0
L3,,,,1,,,1.0
L3,,,,1,,,1.0
L3,,,,1,,,1.0
CS,,,,1,,,1.0
CS,,,,1,,,1.0
CS,,,,1,,,1.0
CS,,,,1,,,1.0
CS,,,,1,,,1.0
CS,,,,1,,,1.0
CS,,,,1,,,1.0
CS,,,,1,,,1.0
CS,,,,1,,,1.0
CS,,,,1,,,1.0
CS,,,,1,,,1.0
CS,,,,1,,,1.0
CS,,,,1,,,1.0
CS,,,,1,,,1.0
CS,,,,1,,,1.0
CS,,,,1,,,1.0
CS,,,,1,,,1.0
CS,,,,1,,,1.0
CS,,,,1,,,1.0
CS,,,,1,,,1.0
CS,,,,1,,,1.0
